book1,book2,weight
95399,253256,14
110872,110885,10
110872,253230,2
110872,253256,3
110872,411993,7
110885,111413,21
110885,130535,13
110885,253230,3
110885,253256,6
111413,253230,4
111413,253256,9
130535,253230,5
130535,253256,12
253230,253256,11
253230,411993,3
253256,411993,6
2782,6887,2
2782,110872,4
2782,198699,2
6887,110872,7
6887,198699,5
110872,198699,3
18349,18379,9
18349,78256,4
3159,14124,12
3948,311866,6
1526,26759,15
1526,26999,16
1526,88800,36
26759,26999,21
26759,88800,6
26999,88800,5
1387,323461,6
2609,9007,8
2609,47891,3
9007,47891,2
9007,51703,6
9007,88772,6
9007,95399,10
9007,110872,9
9007,111413,10
9007,117994,9
9007,125910,5
9007,130535,12
47891,51703,2
47891,88772,3
47891,95399,3
47891,110872,2
47891,111413,3
47891,117994,2
47891,125910,3
47891,130535,5
111413,125910,11
117994,125910,3
3159,3946,5
3159,3948,4
3159,5781,8
3159,5785,6
3159,5786,14
3159,26759,2
3159,26812,3
3159,26999,2
3159,51231,7
3159,51703,7
3159,130535,3
3946,5781,4
3946,5785,3
3946,5786,7
3946,14124,12
3946,26759,16
3946,26812,30
3946,26999,34
3946,51703,10
3947,5781,7
3947,5785,6
3947,5786,12
3947,14124,14
3947,26759,14
3947,26812,27
3947,26999,27
3947,51231,14
3947,51703,14
3948,5781,10
3948,5785,7
3948,5786,11
3948,14124,22
3948,26759,17
3948,26999,25
3948,130535,18
5781,14124,18
5781,26759,5
5781,26812,6
5781,26999,4
5781,51231,15
5781,51703,25
5781,130535,13
5785,14124,23
5785,26759,4
5785,26812,4
5785,26999,4
5785,51231,17
5785,51703,24
5785,130535,14
5786,14124,26
5786,26759,8
5786,26812,7
5786,26999,4
5786,51231,21
5786,51703,35
5786,130535,20
14124,26759,11
14124,26812,8
14124,26999,6
14124,51703,30
14124,130535,18
26759,26812,24
26759,51231,7
26759,51703,11
26759,130535,8
26812,26999,31
26812,51231,8
26812,51703,7
26812,130535,9
26999,51231,8
26999,51703,7
26999,130535,10
51231,51703,29
51231,130535,49
49052,111474,9
5664,197330,2
5665,197330,6
5667,197330,4
5668,197330,2
5506,6887,16
6877,6887,21
6882,6887,23
6883,6887,19
5785,6877,22
5785,88772,20
1526,111474,49
9007,65670,4
9007,93450,6
1387,2609,38
16234,105017,9
26886,93529,18
93529,105017,6
1387,21696,14
3947,5665,16
3948,5665,26
3948,26886,29
5665,14124,12
5668,14124,20
18349,64514,4
18349,78262,2
64514,64769,10
3946,5664,11
3946,5665,16
3946,5667,15
5785,253471,2
5786,253471,5
88800,253471,4
1526,26940,6
5786,26940,10
2609,6878,19
2609,22208,5
2609,51231,27
5506,22208,2
5506,51231,26
6877,22208,4
6877,51231,36
6878,22208,2
6878,51231,22
6878,51703,21
6878,111474,28
6878,117994,19
22208,51231,3
22208,51703,6
22208,88772,2
22208,95399,4
22208,111413,3
22208,111474,5
22208,117994,3
22208,130535,3
51231,88772,25
51231,95399,29
51231,111413,27
51231,111474,33
51231,117994,20
1526,5664,15
2609,251544,7
2609,93529,11
2609,93573,15
2609,111230,3
16234,111230,5
27579,93573,15
27579,111230,7
88772,93529,10
88772,93573,13
88772,111230,3
93529,93573,33
93529,111230,2
93529,130535,11
93573,111230,3
93573,130535,13
111230,130535,7
1387,176716,7
5664,431680,3
5667,431680,4
1387,9007,6
1387,25970,22
3948,6878,8
5785,6878,7
1526,64562,7
3159,6882,10
26759,27579,15
92922,521510,4
1526,64769,26
51231,64769,9
51231,65369,3
64769,65369,7
6878,27579,24
1387,253249,3
78262,93258,2
5667,26999,10
26940,26999,4
26940,198699,2
26999,105017,6
105017,198699,3
2609,5781,19
2609,5785,17
2609,5786,26
5781,88772,19
5781,93573,9
5785,93573,10
5786,88772,28
88800,93573,12
93573,111474,16
1526,110872,15
18370,110940,7
18370,244656,4
18370,244768,4
110940,130535,7
110940,244656,3
110940,244768,4
110940,253230,3
110940,253249,4
110940,253256,6
130535,244656,6
130535,244768,9
244656,244768,9
244656,253249,5
244656,253256,8
244768,253230,5
244768,253249,3
244768,253256,6
253230,253249,5
253249,253256,9
26758,682987,5
64769,251544,7
2609,253256,11
2609,311866,3
2609,421078,12
5506,18349,3
5506,251544,4
5506,311866,3
5506,421078,8
6878,18349,2
6878,251544,4
6878,253249,5
6878,311866,3
6878,421078,6
6882,18349,4
6882,51231,57
6882,251544,5
6882,311866,5
6882,421078,6
18349,18370,5
18349,51231,4
18349,130535,5
18349,251544,2
18349,253249,3
18349,253256,3
18349,311866,2
18349,421078,4
18370,51231,8
18370,251544,4
18370,311866,6
26886,251544,6
26886,311866,5
51231,251544,3
51231,253249,3
51231,253256,4
51231,311866,3
88772,251544,5
88772,311866,2
88772,421078,10
130535,251544,5
130535,311866,4
130535,421078,8
251544,253249,2
251544,253256,3
251544,311866,2
251544,421078,2
253249,311866,4
253249,421078,10
253256,311866,5
253256,421078,5
311866,421078,5
1526,7333,32
5667,16234,16
5666,110940,4
1526,21696,23
1387,105017,14
2609,14124,25
5665,9007,10
5665,88772,5
5668,9007,9
5668,88772,8
9007,14124,13
9007,64769,12
9007,111474,8
14124,64769,13
14124,88772,17
14124,111413,19
14124,111474,32
26759,64352,4
26812,64352,4
26999,64352,4
3947,144709,6
3947,253256,9
3948,144709,6
3948,253256,7
144709,253256,5
21696,111312,3
5664,6878,3
5664,6882,6
5664,6883,4
5664,6887,2
5664,27579,8
5664,51231,7
5664,90045,2
5664,95399,6
5664,110940,2
5664,312896,4
5665,6878,3
5665,6882,16
5665,6883,8
5665,6887,3
5665,27579,12
5665,51231,14
5665,95399,9
5665,110940,5
5665,312896,4
5666,6878,4
5666,6882,12
5666,6887,4
5666,51231,15
5666,95399,8
5666,312896,4
5667,6878,7
5667,6882,22
5667,6883,15
5667,6887,5
5667,95399,10
5667,110940,2
5667,312896,5
5668,6878,9
5668,6882,18
5668,6887,4
5668,51231,20
5668,95399,10
5668,110940,5
5668,312896,5
6877,90045,7
6877,110940,8
6877,312896,5
6878,6887,14
6878,90045,6
6878,110940,3
6878,312896,2
6882,51703,39
6882,90045,4
6882,110940,5
6882,312896,2
6883,51231,44
6883,51703,25
6883,90045,4
6883,110940,4
6883,111474,35
6883,117994,17
6883,312896,3
6887,27579,19
6887,51231,12
6887,51703,12
6887,90045,2
6887,95399,8
6887,110940,2
6887,111413,8
6887,111474,14
6887,117994,10
6887,130535,10
6887,312896,3
27579,90045,5
27579,110872,23
27579,110940,7
27579,117994,16
27579,312896,3
51231,90045,4
51231,110872,25
51231,110940,5
51231,312896,5
51703,90045,5
51703,110940,4
51703,312896,2
90045,95399,4
90045,110872,3
90045,110940,4
90045,111413,3
90045,130535,5
90045,312896,4
95399,110940,7
95399,312896,3
110872,110940,3
110872,312896,3
110940,111413,7
110940,111474,5
110940,117994,5
110940,312896,2
111413,312896,3
111474,312896,2
117994,312896,3
130535,312896,3
93133,176715,3
93258,176715,2
93573,107021,8
93573,176715,3
107021,176715,8
18379,117966,7
65369,117966,5
1387,49057,14
18467,49057,8
18467,118216,2
49057,118216,2
14124,21696,17
135507,176715,3
135507,176716,3
1526,3159,17
78255,107021,3
107021,293382,3
18379,97482,2
64514,97482,2
1526,18517,25
1526,49057,21
1526,109549,5
1526,125910,16
1526,421078,9
2609,65369,2
2609,109549,8
3948,5664,14
3948,5666,17
3948,6877,16
3948,18370,9
3948,49057,7
3948,65369,3
3948,88800,14
3948,109549,4
3948,110872,13
3948,111413,14
3948,117994,7
